CUSTOMER_NAME	KPI Header	PeriodWeek	Day of WEEK_END_DATE	Data Availablity
Walmart.COM	KPI - Sales	P01W4	January 25, 2025	True
Walmart OPD	KPI - Sales	P01W4	January 25, 2025	True
Target.com	KPI - Sales	P01W4	January 25, 2025	False
Target SDD	KPI - Sales	P01W4	January 25, 2025	True
Shoprite	KPI - Sales	P01W4	January 25, 2025	True
Sams.com	KPI - Sales	P01W4	January 25, 2025	True
Sams Pick Up	KPI - Sales	P01W4	January 25, 2025	True
Meijer PickUp	KPI - Sales	P01W4	January 25, 2025	True
Meijer Delivery	KPI - Sales	P01W4	January 25, 2025	True
Kroger.com	KPI - Sales	P01W4	January 25, 2025	True
Kroger Vitacost	KPI - Sales	P01W4	January 25, 2025	True
Kroger PickUp	KPI - Sales	P01W4	January 25, 2025	True
Kroger Ocado	KPI - Sales	P01W4	January 25, 2025	True
Kroger Delivery	KPI - Sales	P01W4	January 25, 2025	True
Instacart	KPI - Sales	P01W4	January 25, 2025	True
Hy-Vee	KPI - Sales	P01W4	January 25, 2025	True
HEB	KPI - Sales	P01W4	January 25, 2025	True
Harris Teeter	KPI - Sales	P01W4	January 25, 2025	True
Gopuff	KPI - Sales	P01W4	January 25, 2025	True
DoorDash 3P Grocery	KPI - Sales	P01W4	January 25, 2025	True
DoorDash 3P Convenience	KPI - Sales	P01W4	January 25, 2025	True
Delhaize	KPI - Sales	P01W4	January 25, 2025	True
DashMart	KPI - Sales	P01W4	January 25, 2025	True
Costco	KPI - Sales	P01W4	January 25, 2025	True
Amazon.COM	KPI - Sales	P01W4	January 25, 2025	True
Amazon Fresh	KPI - Sales	P01W4	January 25, 2025	True
Amazon B&M	KPI - Sales	P01W4	January 25, 2025	True
Ahold	KPI - Sales	P01W4	January 25, 2025	True
7Now-FT	KPI - Sales	P01W4	January 25, 2025	True
Walmart.COM	KPI - Sales	P02W1	February 1, 2025	True
Walmart OPD	KPI - Sales	P02W1	February 1, 2025	True
Target.com	KPI - Sales	P02W1	February 1, 2025	True
Target SDD	KPI - Sales	P02W1	February 1, 2025	True
